Team,Opponent Team,Date,Site,Incident,Time,VAR Used
Liverpool,West Ham,Oct. 31,H,Diojo Jota goal disallowed for a foul by Sadio Mane,82nd minute,AGAINST
Liverpool,Man City,Nov. 8,A,Penalty awarded (missed by Kevin De Bruyne) for handball against Joe Gomez,41st minute,AGAINST
Liverpool,Brighton,Nov. 28,A,Mohamed Salah goal disallowed for offside,35th minute,AGAINST
Liverpool,Brighton,Nov. 28,A,Offside against Sadio Mane after scoring,85th minute,AGAINST
Liverpool,Brighton,Nov. 28,A,Penalty awarded (scored by Pascal Gross) for a foul on Danny Welbeck by Andrew Robertson,92nd minute,AGAINST
Liverpool,Wolves,Dec. 6,H,"Penalty cancelled, Sadio Mane adjudged not to have fouled Conor Coady",,FOR
Liverpool,Fulham,Dec. 13,A,Penalty review rejected by referee Andre Marriner following Fabinho challenge on Ivan Cavaleiro,16th minute,FOR
Liverpool,Tottenham,Jan. 28,A,Son Heung-Min goal disallowed for offside in the build-up,3rd minute,FOR
Liverpool,Tottenham,Jan. 28,A,Mohamed Salah goal ruled out for handball in the build-up by Roberto Firmino,56th minute,AGAINST
Liverpool,Leicester,Feb. 13,A,Penalty cancelled after Thiago's foul on Harvey Barnes adjudged to be outside the area,76th minute,FOR
Liverpool,Leicester,Feb. 13,A,James Maddison goal allowed after incorrect offside against Daniel Amartey,79th minute,AGAINST
Liverpool,Everton,Feb. 20,H,Penalty overturn review rejected after Trent Alexander-Arnold had brought down Dominic Calvert-Lewin,81st minute,AGAINST
Liverpool,Chelsea,March 4,H,Timo Werner goal disallowed for offside,24th minute,FOR
Liverpool,Aston Villa,April 10,H,Roberto Firmino goal ruled out for offside against Diogo Jota in the build-up,45th minute,AGAINST
Liverpool,Newcastle,April 24,H,Callum Wilson goal disallowed for handball,92nd minute,FOR
Liverpool,Man United,May 13,A,Penalty cancelled for challenge on Nathaniel Phillips by Eric Bailly,27th minute,AGAINST
West Brom,Everton,Sept. 19,A,Dominic Calvert-Lewin goal awarded after originally ruled out for offside,31st minute,AGAINST
West Brom,Man United,Nov. 21,A,WBA penalty cancelled after Bruno Fernandes adjudged not to have fouled Conor Gallagher,47th minute,AGAINST
West Brom,Man United,Nov. 21,A,Penalty retake (scored by Bruno Fernandes) after encroachment by Sam Johnstone,56th minute,AGAINST
West Brom,Crystal Palace,Dec. 6,H,Matheus Pereira sent off for challenge on Patrick van Aanholt,35th minute,AGAINST
West Brom,Aston Villa,Dec. 20,H,Jake Livermore sent off for high tackle on Jack Grealish,36th minute,AGAINST
West Brom,Aston Villa,Dec. 20,H,Ollie Watkins goal ruled out for offside,72nd minute,FOR
West Brom,Man City,Jan. 26,H,Ilkay Gundogan goal awarded after incorrect offside against Bernardo Silva,20th minute,AGAINST
West Brom,Man United,Feb. 14,H,Penalty cancelled after Semi Ajayi adjudged not to have fouled Harry Maguire,64th minute,FOR
West Brom,Burnley,Feb. 20,A,Semi Ajayi sent off for handball and denying an obvious goal-scoring opportunity,28th minute,AGAINST
West Brom,Brighton,Feb. 27,H,Penalty conceded (missed by Pascal Gross) for handball against Okay Yokuslu,17th minute,AGAINST
West Brom,Brighton,Feb. 27,H,Lewis Dunk goal disallowed as referee Lee Mason had blown his whistle before the ball crossed the line,37th minute,FOR
West Brom,Crystal Palace,March 13,A,Penalty conceded (scored by Luka Milivojevic) for handball against Darnell Furlong,34th minute,AGAINST
